area_type,size,bathroom,parking,balcony,price,total_sqft,hospital_nearby,school_nearby,mall_nearby,resale,location
Super built-up  Area,2 BHK,2,1,2,4424000,1120,Yes,No,Yes,0,Tumkur Road
Plot  Area,2 BHK,2,2,0,8500000,1200,No,Yes,No,1,Geleyara Balaga Layout
Super built-up  Area,2 BHK,2,2,2,3500000,1200,No,Yes,Yes,1,Dollar Scheme Colony
Super built-up  Area,3 BHK,3,1,2,11000000,1570,Yes,No,Yes,1,Sector 2 HSR Layout
Super built-up  Area,3 BHK,3,2,1,13500000,1500,No,Yes,No,0,Hebbal
Built-up  Area,2 BHK,2,2,2,14000000,1315,No,Yes,Yes,1,Sahakara Nagar
Super built-up  Area,2 BHK,2,1,1,3384000,1140,No,No,Yes,0,Varthur
Super built-up  Area,2 BHK,2,1,2,9000000,1105,Yes,Yes,No,1,Jinkethimmanahalli
Built-up  Area,2 BHK,2,2,1,3465000,1200,No,No,No,1,Kothnoor Dinne
Super built-up  Area,1 BHK,1,1,1,6200000,905,No,No,Yes,1,Kasturi Nagar
Plot  Area,4 BHK,4,2,0,35000000,2400,Yes,Yes,Yes,1,Koramangala
Super built-up  Area,2 BHK,2,1,1,5000000,1185,Yes,No,No,1,Frazer Town
Super built-up  Area,2 BHK,2,2,1,10000000,1083,Yes,Yes,No,0,Electronic City Phase II
Super built-up  Area,3 BHK,3,1,2,6000000,1458,No,Yes,No,1,Banashankari
Super built-up  Area,3 BHK,3,1,2,7500000,1555,Yes,No,Yes,1,Electronic City
Built-up  Area,2 BHK,2,1,2,4500000,1200,No,Yes,No,1,Whitefield
Super built-up  Area,2 BHK,2,2,1,5886000,1308,Yes,Yes,No,0,HSR Layout
Super built-up  Area,2 BHK,2,2,2,4400000,1024,No,Yes,No,0,Kudlu Gate
Super built-up  Area,2 BHK,2,1,2,4700000,1194,Yes,No,Yes,0,Koramangala
Super built-up  Area,3 BHK,3,1,1,7500000,1450,No,No,No,0,Rayasandra
Super built-up  Area,3 BHK,3,2,3,12000000,1639,No,Yes,Yes,0,Hormavu
Super built-up  Area,3 BHK,3,2,2,13800000,1870,Yes,No,Yes,0,Devi Nagar
Super built-up  Area,2 BHK,2,1,1,8700000,1232,No,No,Yes,0,Sarjapur  Road
Super built-up  Area,3 BHK,3,1,1,18400000,1719,No,No,Yes,1,Kudlu
Super built-up  Area,2 BHK,2,1,1,2486000,975,No,No,Yes,0,Parappana Agrahara
Super built-up  Area,3 BHK,4,1,,13000000,2000,No,No,No,0,Kanakapura
Super built-up  Area,2 BHK,2,1,1,7900000,1230,No,Yes,No,1,Seegehalli
Plot  Area,4 BHK,4,1,2,14000000,1350,Yes,Yes,No,1,Whitefield
Super built-up  Area,2 BHK,2,1,2,6700000,1076,Yes,Yes,No,1,Hennur Road
Built-up  Area,7 BHK,7,1,1,12500000,2400,No,No,Yes,1,Kasavanhalli
Super built-up  Area,3 BHK,2,2,2,3482000,995,Yes,No,Yes,0,Chandapura
Super built-up  Area,3 BHK,3,1,2,17700000,2120,No,Yes,Yes,1,New Gurappana Palya
Plot  Area,6 BHK,7,1,,46000000,2400,No,No,No,1,Jakkur
Plot  Area,6 BHK,6,2,2,7800000,850,Yes,No,No,1,Guddadahalli
Super built-up  Area,2 BHK,2,2,2,4055000,1096,No,No,No,0,KR Puram
Super built-up  Area,2 BHK,2,2,1,4151000,1107.83,Yes,Yes,No,1,Kumaraswami Layout
Built-up  Area,1 BHK,1,2,0,8500000,505,Yes,Yes,Yes,0,Vasanthpura
Super built-up  Area,2 BHK,2,2,2,11500000,1320,Yes,Yes,Yes,0,Kodigehaali
Super built-up  Area,3 BHK,3,1,0,7202000,1408,No,Yes,No,1,Kasthuri Nagar East Of NGEF
Super built-up  Area,2 BHK,2,1,1,9926000,1320,Yes,No,Yes,1,Chikka Gowdanapalya.
Super built-up  Area,3 BHK,4,2,2,19000000,2901,Yes,No,Yes,0,Electronic City
Built-up  Area,3 BHK,2,2,2,6500000,1315,Yes,Yes,No,0,Horamavu Agara
Super built-up  Area,2 BHK,2,1,1,4400000,1000,Yes,No,Yes,0,Chamrajpet
Super built-up  Area,3 BHK,3,1,3,7980000,1596,Yes,No,Yes,0,Sarjapur  Road
Super built-up  Area,3 BHK,3,2,,13000000,1750,Yes,Yes,No,0,8th Phase JP Nagar
Plot  Area,4 BHK,4,2,2,27000000,2403,No,Yes,Yes,0,Whitefield
Super built-up  Area,3 BHK,3,1,2,4725000,1350,No,Yes,Yes,1,Whitefield
Super built-up  Area,4 BHK,,1,,34100000,4050,Yes,Yes,No,1,GM Palaya
Super built-up  Area,2 BHK,2,1,2,7900000,1175,Yes,Yes,Yes,1,VGP Layout
Super built-up  Area,2 BHK,2,1,1,2947000,921,Yes,Yes,Yes,1,Hosakerehalli
Built-up  Area,4 BHK,4,1,2,110000000,4000,Yes,No,No,1,Bannerghatta Road
Super built-up  Area,3 BHK,3,2,3,12500000,1713,No,Yes,Yes,0,Whitefield
Built-up  Area,2 BHK,2,1,0,4300000,1200,No,No,No,1,Old Madras Road
Built-up  Area,3 BHK,4,2,1,9000000,1900,No,Yes,No,0,Old Madras Road
Super built-up  Area,3 BHK,3,1,2,6800000,1664,No,Yes,Yes,0,"TR Mill Road, Chamarajpet"
Super built-up  Area,3 BHK,3,2,2,13900000,1795,No,No,No,1,Talaghattapura
Built-up  Area,1 BHK,1,2,1,1950000,600,Yes,No,No,1,Malleshwaram
Built-up  Area,2 BHK,2,1,3,6500000,1240,No,Yes,Yes,1,Sultan Palaya
Super built-up  Area,3 BHK,4,2,2,13200000,1965,No,No,Yes,1,Ittamadu
Plot  Area,3 BHK,4,1,0,9900000,600,Yes,Yes,No,0,8th Phase JP Nagar
Plot  Area,4 BHK,4,1,1,37000000,4111,No,No,Yes,0,Kudlu Gate
Super built-up  Area,2 BHK,2,2,2,5976000,1200,No,Yes,Yes,0,Binny Pete
Super built-up  Area,2 BHK,2,2,3,6800000,1112,Yes,Yes,Yes,1,Kereguddadahalli
Built-up  Area,3 BHK,3,1,2,6000000,3000,No,Yes,No,0,Hoodi
Super built-up  Area,2 BHK,2,2,3,6450000,1136,No,No,Yes,1,Hegde Nagar
Super built-up  Area,2 BHK,2,1,2,5500000,914,Yes,Yes,Yes,1,Vishveshwarya Layout
Super built-up  Area,3 BHK,2,2,1,5079000,1270,No,No,Yes,1,Sarjapur
Super built-up  Area,2 BHK,2,2,2,4725000,1050,Yes,No,Yes,1,Electronics City Phase 1
Super built-up  Area,3 BHK,2,1,2,6850000,1385,No,No,No,0,Ganga Nagar
Super built-up  Area,2 BHK,2,2,3,3500000,990,Yes,No,Yes,1,Raja Rajeshwari Nagar
Built-up  Area,2 BHK,2,2,2,4300000,845,No,No,No,1,Mahadevpura
Super built-up  Area,2 BHK,2,2,1,9651000,1485,Yes,Yes,No,1,Jigani
Super built-up  Area,3 BHK,2,1,3,4379000,1460,No,No,No,1,Poorna Pragna Layout
Super built-up  Area,2 BHK,2,2,1,5700000,1450,No,Yes,No,1,Rachenahalli
Built-up  Area,3 BHK,2,2,1,5300000,1360,No,Yes,No,0,Marathahalli
Built-up  Area,2 BHK,2,1,3,5800000,1375,No,Yes,No,1,Medahalli
Super built-up  Area,2 BHK,2,2,1,4800000,1125,No,Yes,Yes,1,Yelahanka
Super built-up  Area,1 BHK,1,1,1,6000000,720,Yes,Yes,No,0,Whitefield
Super built-up  Area,3 BHK,2,2,2,10000000,1460,No,No,No,1,Kanakapura
Built-up  Area,2 BHK,2,1,2,4000000,1107,No,No,No,1,Thanisandra
Built-up  Area,2 BHK,2,2,3,7500000,1158,No,Yes,No,1,HSR Layout
Super built-up  Area,2 BHK,1,1,1,3000000,800,No,Yes,Yes,1,Singasandra
Plot  Area,9 BHK,9,2,,9000000,600,No,Yes,No,0,Uttarahalli
Super built-up  Area,3 BHK,3,2,2,12800000,1760,No,No,No,0,Banashankari
Plot  Area,4 BHK,4,2,2,20000000,3200,Yes,Yes,No,0,7th Phase JP Nagar
Plot  Area,2 BHK,3,1,2,14500000,600,No,Yes,No,0,Green View Layout
Built-up  Area,3 BHK,3,1,1,6000000,1350,Yes,No,No,0,Maruthi Nagar
Plot  Area,6 BHK,6,2,3,10000000,600,No,Yes,Yes,0,Yelachenahalli
Built-up  Area,2 BHK,2,1,1,3249000,1125,No,Yes,No,0,Sector 2 HSR Layout
Super built-up  Area,3 BHK,3,2,3,15400000,1706,No,Yes,Yes,1,Bhoganhalli
Super built-up  Area,3 BHK,3,2,2,11200000,1600,No,No,Yes,1,Nandi Hills
Super built-up  Area,2 BHK,2,2,0,9000000,1200,Yes,Yes,No,0,HAL 2nd Stage
Super built-up  Area,3 BHK,3,2,3,10100000,1755,Yes,Yes,Yes,1,TC Palaya
Super built-up  Area,2 BHK,2,1,1,5000000,1200,No,Yes,Yes,1,Giri Nagar
Super built-up  Area,2 BHK,2,2,2,6700000,1200,Yes,Yes,Yes,1,Huskur
Super built-up  Area,2 BHK,2,1,0,6900000,1266.67,Yes,No,Yes,0,Frazer Town
Super built-up  Area,3 BHK,3,2,2,9000000,1800,No,No,No,1,BTM Layout
Plot  Area,3 BHK,4,2,1,27500000,1200,No,No,No,0,Ramesh Nagar
Super built-up  Area,3 BHK,3,2,2,6400000,1300,Yes,No,No,0,Whitefield
Plot  Area,3 BHK,3,1,3,6000000,800,No,Yes,No,0,Hulimavu
Plot  Area,4 BHK,5,2,2,55000000,4800,Yes,Yes,Yes,1,BEML Layout
Super built-up  Area,2 BHK,2,2,0,5085500,942,No,No,Yes,0,Chokkanahalli
Super built-up  Area,2 BHK,2,2,2,4000000,1128,No,Yes,Yes,1,Kariyammana Agrahara
Plot  Area,2 BHK,2,1,1,16000000,2000,No,Yes,No,0,Sector 7 HSR Layout
Super built-up  Area,2 BHK,2,2,1,8000000,1210,Yes,Yes,No,1,2nd Phase Judicial Layout
Super built-up  Area,4 BHK,6,2,2,14200000,2710,Yes,No,No,1,Nirman Layout
Super built-up  Area,2 BHK,2,2,2,3900000,1151,No,Yes,No,0,Whitefield
Super built-up  Area,5 BHK,8,2,3,170000000,7500,Yes,Yes,Yes,0,Mysore Road
Super built-up  Area,3 BHK,3,1,2,5600000,1464,Yes,No,Yes,0,Raja Rajeshwari Nagar
Super built-up  Area,2 BHK,2,1,2,2700000,1017,Yes,No,No,1,NS Palya
Built-up  Area,2 BHK,2,1,1,4000000,920,No,No,Yes,0,Panathur
Plot  Area,4 BHK,3,1,1,18000000,1200,No,No,Yes,0,Arekere
Plot  Area,5 BHK,5,1,2,14000000,1000,No,No,Yes,1,Raja Rajeshwari Nagar
Super built-up  Area,3 BHK,3,1,3,8650000,1750,No,Yes,No,1,Rajaji Nagar
Built-up  Area,2 BHK,2,2,1,6500000,1163,Yes,Yes,No,1,HOSUR MAIN ROAD
Super built-up  Area,3 BHK,3,2,3,11000000,1650,No,No,No,1,Electronic City
Super built-up  Area,3 BHK,3,1,3,9500000,1800,Yes,Yes,Yes,0,Sarjapur  Road
Super built-up  Area,2 BHK,2,1,1,5800000,1100,No,Yes,Yes,0,HRBR Layout
Built-up  Area,2 BHK,2,2,2,6000000,1200,No,Yes,No,1,Nyanappana Halli
Super built-up  Area,3 BHK,3,2,2,6500000,1410,Yes,Yes,Yes,0,Munnekollal
Super built-up  Area,3 BHK,3,1,2,9800000,1933,No,No,Yes,0,Dasanapura
Super built-up  Area,2 BHK,2,1,2,4560000,1200,Yes,No,No,0,7th Phase JP Nagar
Super built-up  Area,3 BHK,2,2,3,6300000,1608,Yes,No,No,1,Kundalahalli Colony
Plot  Area,4 BHK,5,2,2,28000000,2679,Yes,No,Yes,0,CV Raman Nagar
Super built-up  Area,2 BHK,2,1,2,4690000,1156,Yes,No,Yes,1,R.T. Nagar
Plot  Area,2 BHK,2,2,0,7500000,1230,No,Yes,Yes,1,Ganga Nagar
Super built-up  Area,1 BHK,1,1,1,4382000,770,No,No,No,1,Begur Road
Super built-up  Area,3 BHK,3,1,2,10500000,1777.26,No,No,No,1,Begur Road
Super built-up  Area,2 BHK,2,1,2,8500000,1339,No,No,Yes,1,Whitefield
Built-up  Area,3 BHK,3,2,2,18300000,3044,Yes,Yes,No,0,Jakkasandra Extension
Built-up  Area,2 BHK,2,2,2,4480000,1080,No,Yes,Yes,1,Horamavu Banaswadi
Carpet  Area,8 BHK,5,1,2,14500000,3150,Yes,Yes,Yes,0,T.C PALYA
Plot  Area,2 BHK,2,2,2,13500000,2400,No,No,Yes,1,Kasavanhalli
Built-up  Area,3 BHK,3,2,3,7200000,1450,Yes,Yes,No,1,Ardendale
Super built-up  Area,2 BHK,2,2,2,5300000,1075,No,Yes,No,1,Kanakpura Road
Super built-up  Area,3 BHK,2,1,2,6200000,1163,No,Yes,Yes,1,Sarjapur  Road
Built-up  Area,2 BHK,2,2,0,6500000,1200,Yes,Yes,No,1,Chennappa Layout
Plot  Area,8 BHK,8,2,1,13500000,1200,No,No,No,1,Doddabommasandra
Plot  Area,4 BHK,4,2,,32500000,3090,Yes,No,No,1,Nagadevanahalli
Built-up  Area,2 BHK,2,1,1,10000000,1299,Yes,No,No,1,Hulimavu
Built-up  Area,2 BHK,2,2,1,3263000,1130,Yes,No,No,0,Kothanur
Super built-up  Area,2 BHK,2,2,2,7500000,1170,Yes,No,No,0,Sarjapur  Road
Super built-up  Area,3 BHK,,2,,15200000,1750,No,Yes,Yes,1,TC Palaya
Super built-up  Area,4 BHK,4,2,3,17500000,2600,Yes,Yes,No,0,Kattigenahalli
Super built-up  Area,2 BHK,2,2,1,4332000,1140,No,No,No,1,Marathahalli
Super built-up  Area,3 BHK,3,2,3,12500000,1900,No,Yes,Yes,0,Hebbal
Built-up  Area,2 BHK,2,1,1,3148000,1090,Yes,Yes,Yes,0,Electronic City
Super built-up  Area,2 BHK,2,2,1,3995000,1110,No,Yes,Yes,1,HRBR Layout
Super built-up  Area,1 BHK,1,1,1,5700000,705,No,No,No,1,JP Nagar
Super built-up  Area,2 BHK,2,1,1,6000000,1089,No,No,No,1,Yelahanka
Plot  Area,2 BHK,2,2,1,4800000,880,No,No,No,1,KR Puram
Built-up  Area,2 BHK,2,2,2,3200000,1080,No,Yes,No,1,Kanakpura Road
Super built-up  Area,2 BHK,2,1,1,6810000,1093,Yes,No,No,1,Bommasandra Industrial Area
Super built-up  Area,3 BHK,3,1,1,7548000,1480,No,Yes,No,0,Electronic City
Super built-up  Area,3 BHK,3,2,2,12500000,1703,Yes,No,Yes,1,Nagavarapalya
Super built-up  Area,2 BHK,2,2,1,6000000,1200,No,Yes,No,1,HBR Layout
Super built-up  Area,3 BHK,3,2,2,11600000,1690,No,No,Yes,1,tc.palya
Super built-up  Area,2 BHK,2,1,1,7800000,1305,Yes,No,Yes,1,Kereguddadahalli
Super built-up  Area,3 BHK,2,1,2,4022000,1257,Yes,No,Yes,0,Thanisandra
Super built-up  Area,2 BHK,2,1,2,4500000,1150,No,No,No,0,Banashankari Stage III
Super built-up  Area,2 BHK,2,1,0,5500000,1194,Yes,No,No,0,Hegde Nagar
Built-up  Area,3 BHK,3,2,1,9000000,2000,Yes,No,Yes,0,Hebbal
Plot  Area,3 BHK,4,1,1,9900000,1500,No,Yes,Yes,0,Marathahalli
Built-up  Area,2 BHK,2,1,0,4250000,1025,Yes,Yes,No,0,Yelahanka
Built-up  Area,2 BHK,2,2,1,3819000,980,Yes,Yes,No,0,Talaghattapura
Plot  Area,3 BHK,2,1,1,10000000,1200,No,Yes,Yes,0,Subash Nagar
Super built-up  Area,3 BHK,3,1,1,14900000,2225,No,No,Yes,1,Stage-4 Bommanahalli
Super built-up  Area,2 BHK,2,2,2,5700000,1022,No,No,No,0,Chokkahalli
Plot  Area,4 BHK,3,2,0,7200000,882,Yes,No,No,0,Anekal
Built-up  Area,2 BHK,2,2,2,4500000,1153,No,No,Yes,1,Bellari Road
Super built-up  Area,2 BHK,2,1,2,6000000,1175,No,No,No,1,Horamavu Agara
Built-up  Area,3 BHK,3,2,3,6800000,1560,Yes,Yes,No,0,Hosakerehalli
Built-up  Area,1 BHK,1,1,1,1700000,650,Yes,Yes,No,1,Whitefield
Plot  Area,3 BHK,3,2,2,6500000,600,No,No,No,0,Ashirvad Colony
Super built-up  Area,2 BHK,3,2,2,5500000,1350,No,No,Yes,1,Sidedahalli
Plot  Area,2 BHK,2,2,1,7600000,1200,Yes,No,No,1,Narayanapura
Super built-up  Area,2 BHK,1,2,1,5400000,1200,No,No,Yes,0,Pai Layout
Super built-up  Area,2 BHK,2,2,1,2500000,800,Yes,Yes,Yes,1,Vidyaranyapura
Super built-up  Area,4 BHK,4,1,1,10400000,2093,No,Yes,No,0,Yelahanka New Town
Super built-up  Area,3 BHK,2,1,2,5544000,1320,No,No,Yes,1,Vishwapriya Nagar
Super built-up  Area,2 BHK,2,1,1,7300000,1275,Yes,No,No,0,Billekahalli
Super built-up  Area,2 BHK,2,2,2,4313000,1215,Yes,No,No,0,Akshya Nagar
Super built-up  Area,2 BHK,2,1,1,4520000,1130,No,No,Yes,1,Telecom Layout
Super built-up  Area,3 BHK,2,1,2,7150000,1444,Yes,No,Yes,1,Chandapura
Super built-up  Area,2 BHK,2,1,2,3800000,950,No,No,Yes,0,Electronic City
Super built-up  Area,2 BHK,1,1,,9000000,1000,Yes,Yes,No,0,Uttarahalli
Super built-up  Area,3 BHK,2,2,2,5952000,1240,Yes,No,Yes,1,Bannerghatta Road
Plot  Area,4 BHK,4,1,2,12500000,600,No,No,No,0,Begur Road
Super built-up  Area,2 BHK,2,2,2,5000000,1231,Yes,Yes,Yes,1,Kanakapura
Super built-up  Area,2 BHK,2,1,1,12000000,1300,No,Yes,Yes,1,Begur Road
Super built-up  Area,3 BHK,3,2,2,11000000,1713,No,No,Yes,1,Vikram Nagar
Super built-up  Area,2 BHK,2,1,1,5333000,1200,Yes,No,Yes,1,Padmanabhanagar
Built-up  Area,3 BHK,4,2,,15800000,3004,Yes,No,Yes,0,Banashankari Stage II
Built-up  Area,3 BHK,2,1,0,4600000,1310,No,Yes,Yes,1,2nd Stage Nagarbhavi
Super built-up  Area,2 BHK,2,2,1,4950000,790,Yes,No,Yes,0,Hennur
Super built-up  Area,3 BHK,3,1,1,20000000,1744,Yes,Yes,No,1,Benson Town
Super built-up  Area,3 BHK,3,1,2,10000000,1605,Yes,No,Yes,1,Yeshwanthpur
Super built-up  Area,2 BHK,2,2,2,8200000,1250,Yes,Yes,No,0,Kogilu
Super built-up  Area,3 BHK,3,2,3,33700000,2476,No,No,No,1,Sarjapur  Road
Built-up  Area,3 BHK,2,1,2,7600000,1260,Yes,No,No,1,Sonnenahalli
Super built-up  Area,3 BHK,3,2,1,17500000,1615,Yes,No,Yes,1,Jalahalli
Super built-up  Area,2 BHK,2,1,1,5600000,1180,No,Yes,No,0,Koramangala
Super built-up  Area,3 BHK,2,1,2,5019000,1255,Yes,No,No,1,Amblipura
Super built-up  Area,2 BHK,2,1,1,5390000,1025,No,No,No,0,Whitefield
Super built-up  Area,3 BHK,4,2,2,15000000,1877,Yes,Yes,No,0,Malleshwaram
Built-up  Area,3 BHK,3,1,2,15000000,1649,No,No,No,1,Subramanyapura
Plot  Area,3 BHK,3,2,,67500000,2600,No,No,Yes,1,Rajaji Nagar
Built-up  Area,5 BHK,5,2,2,12500000,2500,Yes,No,No,1,Yelahanka
Built-up  Area,3 BHK,3,1,2,9800000,1542,Yes,No,Yes,1,Uttarahalli
Super built-up  Area,2 BHK,2,1,2,10500000,1418,Yes,No,No,1,Electronic City
Built-up  Area,2 BHK,2,2,0,4200000,1012,Yes,No,No,0,Sarjapur  Road
Plot  Area,2 BHK,2,2,1,6500000,1200,Yes,Yes,No,0,Lakshminarayana Pura
Super built-up  Area,2 BHK,2,2,2,4300000,1115,Yes,No,Yes,1,5th Block Hbr Layout
Super built-up  Area,3 BHK,4,2,3,9500000,1680,Yes,No,No,0,Hennur
Super built-up  Area,2 BHK,2,1,2,7200000,1171,No,No,No,1,Doddakammanahalli
Super built-up  Area,2 BHK,2,1,1,6862000,1027,No,No,No,1,Thigalarapalya
Super built-up  Area,3 BHK,3,1,3,7500000,1700,Yes,No,No,1,Sarvabhouma Nagar
Super built-up  Area,2 BHK,2,2,2,3815000,1090,No,Yes,No,0,Chandapura
Super built-up  Area,2 BHK,2,1,1,7400000,1232,No,No,No,1,Sarjapur  Road
Super built-up  Area,2 BHK,2,2,2,2800000,766,Yes,No,No,1,Green Glen Layout
Plot  Area,5 BHK,5,2,0,18000000,1200,No,No,No,1,Old Madras Road
Super built-up  Area,1 BHK,1,1,1,2700000,525,No,Yes,No,1,Tumkur Road
Super built-up  Area,3 BHK,3,1,1,10900000,1560,No,Yes,No,0,Shampura
Built-up  Area,3 BHK,2,1,1,4100000,1452,No,No,Yes,1,Kanakapura
Super built-up  Area,3 BHK,2,1,1,6500000,1254,Yes,No,No,0,Hennur Road
Built-up  Area,5 BHK,5,2,0,11000000,3600,No,No,Yes,0,Anekal
Super built-up  Area,3 BHK,3,2,1,11800000,1593,Yes,Yes,No,1,Banashankari Stage III
Super built-up  Area,2 BHK,2,1,2,7727000,1333,Yes,Yes,No,0,Kanakpura Road
Built-up  Area,3 BHK,3,2,1,11000000,1100,Yes,Yes,No,0,Hosa Road
Super built-up  Area,3 BHK,2,2,1,5499000,1375,Yes,No,Yes,0,JP Nagar
Super built-up  Area,3 BHK,3,2,3,8200000,1650,Yes,No,No,0,Choodasandra
Super built-up  Area,3 BHK,2,1,2,5148000,1430,Yes,Yes,No,1,MS Pallya
Built-up  Area,2 BHK,2,1,1,5400000,940,No,Yes,Yes,0,Kanakpura Road
Super built-up  Area,1 BHK,1,0,1,2100000,435,Yes,Yes,Yes,1,ITI Layout
Super built-up  Area,2 BHK,2,2,2,3654000,1160,Yes,Yes,Yes,1,Herohalli
Super built-up  Area,3 BHK,2,2,1,7750000,1500,No,Yes,No,0,Raja Rajeshwari Nagar
Super built-up  Area,3 BHK,2,2,1,10000000,1890,Yes,No,Yes,0,Ardendale
Built-up  Area,2 BHK,2,2,1,7000000,1050,Yes,No,No,1,Thanisandra
Plot  Area,6 BHK,6,2,3,22000000,1200,No,Yes,No,1,Electronic City
Super built-up  Area,2 BHK,2,1,2,4300000,1027,No,No,Yes,0,Electronic City
Super built-up  Area,3 BHK,,2,,6128000,1390,No,Yes,No,0,Begur Road
Plot  Area,3 BHK,4,2,2,23500000,3000,No,No,Yes,1,Electronic City
Super built-up  Area,3 BHK,2,1,1,9500000,1459,No,Yes,Yes,1,Koramangala
Super built-up  Area,3 BHK,3,1,3,8561000,1711,No,Yes,No,1,Doopanahalli
Super built-up  Area,2 BHK,2,1,2,9800000,1250,Yes,No,No,1,Singasandra
Super built-up  Area,1 BHK,1,2,1,1645000,645,Yes,No,Yes,0,Haralur Road
Plot  Area,2 BHK,2,2,1,5700000,875,Yes,Yes,No,1,Whitefield
Built-up  Area,2 BHK,2,2,1,6700000,1334,Yes,Yes,Yes,0,Seegehalli
Built-up  Area,2 BHK,2,2,1,3292000,1140,Yes,Yes,Yes,1,Tumkur Road
Super built-up  Area,2 BHK,2,2,2,5000000,1115,Yes,No,Yes,0,Yelahanka
Plot  Area,3 BHK,5,1,2,20000000,1200,Yes,No,No,0,Hoodi
Super built-up  Area,3 BHK,3,1,1,19000000,1776,Yes,No,Yes,0,Chandapura
Super built-up  Area,3 BHK,4,1,2,16000000,2072,Yes,Yes,Yes,0,Anandapura
Plot  Area,3 BHK,3,2,2,17000000,1600,No,Yes,No,0,Ramamurthy Nagar
Plot  Area,6 BHK,4,1,2,11500000,1200,No,Yes,No,0,Huskur
Super built-up  Area,2 BHK,2,1,3,3900000,920,Yes,Yes,No,0,Sarjapur  Road
Super built-up  Area,2 BHK,2,1,0,2529000,598,No,No,Yes,1,Amruthahalli
Plot  Area,4 BHK,3,1,3,9500000,1310,No,Yes,No,0,Rajaji Nagar
Super built-up  Area,3 BHK,3,1,2,8000000,1631,No,No,Yes,0,Thigalarapalya
Super built-up  Area,1 BHK,1,2,1,2750000,525,No,Yes,No,1,Kundalahalli
Built-up  Area,3 BHK,3,2,3,8200000,1395,No,No,No,0,Lakshmi Layout
Super built-up  Area,3 BHK,3,1,2,10500000,2000,No,No,No,1,Kengeri Satellite Town
Super built-up  Area,2 BHK,2,2,1,6600000,1232,No,Yes,Yes,1,Chandapura
Super built-up  Area,2 BHK,2,1,1,5500000,1075,No,No,Yes,1,Nagasandra
Super built-up  Area,2 BHK,2,2,2,7000000,1205,No,No,No,0,Electronic City
Plot  Area,4 BHK,4,2,2,16500000,1200,No,No,No,0,Kanakpura Road
Super built-up  Area,4 BHK,5,2,1,12900000,2340,Yes,No,Yes,1,Jalahalli
Super built-up  Area,3 BHK,2,2,1,5500000,1179,Yes,Yes,No,1,Devi Nagar
Super built-up  Area,2 BHK,2,2,1,5100000,1013,No,No,Yes,0,Hennur Road
Super built-up  Area,2 BHK,2,2,2,4060000,1160,No,No,No,0,Virupakshapura
Super built-up  Area,2 BHK,2,1,2,6250000,1200,No,No,Yes,0,Gubbalala
Plot  Area,7 BHK,5,1,0,8000000,1200,Yes,No,No,1,Muthyala Nagar
Super built-up  Area,3 BHK,2,1,3,5019000,1255,No,Yes,No,1,Rajiv Nagar
Built-up  Area,3 BHK,2,2,1,14500000,1100,Yes,Yes,Yes,0,Rayasandra
Built-up  Area,2 BHK,2,1,1,5500000,1069,No,Yes,No,1,Kodigehaali
Plot  Area,3 BHK,3,1,2,9900000,1200,Yes,Yes,Yes,1,Uttarahalli
Super built-up  Area,1 BHK,1,2,1,28500000,1400,No,Yes,No,1,Thyagaraja Nagar
Super built-up  Area,2 BHK,2,1,2,5500000,1065,No,No,No,1,7th Phase JP Nagar
Built-up  Area,2 BHK,2,1,0,7500000,1395,Yes,Yes,Yes,1,Nrupathunga Nagar
Built-up  Area,3 BHK,2,1,1,16500000,1725,Yes,Yes,No,0,Uttarahalli
Built-up  Area,2 BHK,2,2,2,4300000,1007,Yes,Yes,Yes,1,Richmond Town
Built-up  Area,3 BHK,2,2,2,5500000,1436,Yes,No,No,1,Samethanahalli
Super built-up  Area,6 BHK,6,1,3,15000000,4250,No,No,No,0,Kyalasanahalli
Super built-up  Area,3 BHK,3,1,2,11700000,1645,No,No,Yes,1,Kudlu Gate
Plot  Area,2 BHK,2,1,0,5800000,1200,Yes,No,No,1,Marathahalli
Super built-up  Area,2 BHK,2,1,1,4361000,940,Yes,Yes,Yes,1,Lakshminarayana Pura
Built-up  Area,6 BHK,6,2,2,17500000,4300,Yes,Yes,No,1,Hebbal Kempapura
Super built-up  Area,3 BHK,5,2,3,34300000,2850,Yes,Yes,Yes,1,Coconut Grove Layout
Built-up  Area,3 BHK,3,1,2,19100000,1740,Yes,No,No,1,Kengeri
Super built-up  Area,2 BHK,2,2,2,4700000,1194,No,No,Yes,1,Amrita Nagar
Super built-up  Area,3 BHK,3,1,2,65000000,3761,Yes,Yes,Yes,0,Hebbal
Super built-up  Area,3 BHK,3,1,2,12500000,1829,No,No,No,1,Kengeri
Plot  Area,4 BHK,4,1,3,17800000,1800,Yes,Yes,No,0,Mysore Road
Super built-up  Area,2 BHK,2,1,1,6000000,1000,Yes,Yes,Yes,0,KR Puram
Built-up  Area,3 BHK,3,1,0,35000000,5720,No,Yes,Yes,1,Hebbal
Plot  Area,5 BHK,4,2,2,9800000,800,No,No,Yes,1,Indira Nagar
Super built-up  Area,2 BHK,1,1,1,1500000,675,Yes,No,No,1,Haralur Road
Super built-up  Area,2 BHK,2,1,2,9500000,1390,Yes,Yes,No,0,Sadashiva Nagar
Super built-up  Area,3 BHK,3,2,2,10400000,1500,Yes,Yes,Yes,1,Dodda Nekkundi
Super built-up  Area,3 BHK,3,2,2,13600000,2047,Yes,Yes,No,1,Whitefield
